Solvent,Smiles,MolWt,LogP,TPSA,HDonors,HAcceptors,RotatableBonds,RingCount,AromaticRings,FractionCSP3,Heteroatoms,Extraction_Power
2-Methyl-1-propanol,CC(C)CO,74.123,0.635,20.23,1,1,1,0,0,1,1,0
2-Methyl-2-propanol,CC(C)(C)O,74.123,0.777,20.23,1,1,0,0,0,1,1,0
2-Propanol,CC(O)C,60.096,0.387,20.23,1,1,0,0,0,1,1,0
3-Methyl-1-butanol,OCCC(C)C,88.15,1.025,20.23,1,1,2,0,0,1,1,0
3-methylcyclohexanol,CC1CCCC(C1)O,114.188,1.557,20.23,1,1,0,1,0,1,1,0
4-Methyl-2-pentanol,OC(C)CC(C)C,102.177,1.413,20.23,1,1,2,0,0,1,1,0
4-Methylcyclohexanol,CC1CCC(CC1)O,114.188,1.557,20.23,1,1,0,1,0,1,1,0
Butyraldehyde,O=CCCC,72.107,0.985,17.07,0,1,2,0,0,0.75,1,0
Cumene,CC(C)c1ccccc1,120.195,2.81,0,0,0,1,1,1,0.333,0,0
Cyclohexane,C1CCCCC1,84.162,2.341,0,0,0,0,1,0,1,0,0
Cyclohexanol,C1CCCCC1O,100.161,1.311,20.23,1,1,0,1,0,1,1,0
Cyclohexanone,C1CCC(=O)CC1,98.145,1.52,17.07,0,1,0,1,0,0.833,1,0
Cyclohexene,C1CCC=CC1,82.146,2.117,0,0,0,0,1,0,0.667,0,0
Diacetone alcohol,CC(=O)CC(C)(C)O,116.16,0.736,37.3,1,2,2,0,0,0.833,2,0
Diisobutyl ketone,CC(C)CC(=O)C,100.161,1.622,17.07,0,1,2,0,0,0.833,1,0
Ethyl butyl ketone,CCC(=O)CCCC,114.188,2.156,17.07,0,1,4,0,0,0.857,1,0
Ethylene glycol,OCCO,62.068,-1.029,40.46,2,2,1,0,0,1,2,0
Ethylene glycol monobutyl ether,OCCOCCCC,118.176,0.795,29.46,1,2,5,0,0,1,2,0
Formamide,O=CN,45.041,-0.899,43.09,1,1,0,0,0,0,2,0
Heptane,CCCCCCC,100.205,2.977,0,0,0,4,0,0,1,0,0
Hexylene glycol,CC(CC(C)(C)O)O,118.176,0.528,40.46,2,2,2,0,0,1,2,0
Isobutyl acetate,O=C(OCC(C)C)C,116.16,1.206,26.3,0,2,2,0,0,0.833,2,0
Isopentyl acetate,O=C(OCCC(C)C)C,130.187,1.596,26.3,0,2,3,0,0,0.857,2,0
Isopropyl acetate,CC(OC(C)C)=O,102.133,0.958,26.3,0,2,1,0,0,0.8,2,0
Methyl isobutyl ketone,CC(C)CC(=O)C,100.161,1.622,17.07,0,1,2,0,0,0.833,1,0
Methyl isopentyl ketone,CC(C)CCC(=O)C,114.188,2.012,17.07,0,1,3,0,0,0.857,1,0
Methyl pentyl ketone,O=C(C)CCCCC,114.188,2.156,17.07,0,1,4,0,0,0.857,1,0
Methylcyclohexane,CC1CCCCC1,98.189,2.587,0,0,0,0,1,0,1,0,0
Nonane,CCCCCCCCC,128.259,3.757,0,0,0,6,0,0,1,0,0
Octane,CCCCCCCC,114.232,3.367,0,0,0,5,0,0,1,0,0
o-Xylene,CC1=C(C)C=CC=C1,106.168,2.303,0,0,0,0,1,1,0.25,0,0
Pentyl acetate,CCCCCOC(C)=O,130.187,1.74,26.3,0,2,4,0,0,0.857,2,0
p-Xylene,CC1=CC=C(C)C=C1,106.168,2.303,0,0,0,0,1,1,0.25,0,0
sec-butyl acetate,O=C(OC(C)CC)C,116.16,1.348,26.3,0,2,2,0,0,0.833,2,0
